sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48
YHR143W	0.035428	0.094934	1.134473	2.884677	4.04079	4.04079	4.04079	4.04079	4.04079	3.605198	4.04079	4.04079	4.04079	3.605198	0.889622	0.16134	-0.23611	0.148462	-0.090339	0.409313	0.473492	1.271085	1.593395	1.593395	-0.176129	0.172228	1.306367	4.04079	2.884677	4.04079	4.04079	4.04079	4.04079	4.04079	3.605198	4.04079	4.04079	2.884677	1.563192	0.119464	-0.307255	-0.188429	-0.160306	-0.060047	0.452749	1.400749	1.37943	2.335384
YBL003C	3.605198	3.605198	3.605198	2.01199	0.635287	-0.153349	-0.651805	-0.831188	-0.656119	0.073511	0.930202	1.424928	2.01199	2.657205	2.657205	1.860406	0.367004	-0.621517	-0.889293	-0.331216	-0.302991	0.216218	0.474766	0.717441	1.925833	3.605198	4.04079	2.1122	0.511834	-0.392298	-1.092723	-0.436818	-0.437718	0.401122	1.123481	1.860406	2.335384	2.496404	2.884677	1.758552	0.004516	-0.696278	-1.02083	-0.705899	-0.32806	0.25569	0.520198	0.990129
YAR010C	-0.371067	-1.075393	1.532017	-0.623028	-0.295436	-1.10353	-0.406761	-0.32935	-0.571078	-0.253984	-0.213214	0.08451	0.936782	-0.529396	-0.068797	-0.417747	-0.521928	-1.537934	0.320187	-0.19085	0.484406	2.884677	3.605198	2.884677	2.496404	-0.784028	0.286235	-0.320284	-0.318233	-2.173676	-0.733734	-0.52541	-0.373847	-0.528463	-1.174979	-0.093023	1.171638	0.081357	0.407937	-0.04739	-0.033382	-0.134105	1.925833	-0.361298	2.496404	2.884677	3.605198	2.657205
YDR225W	4.04079	2.884677	2.884677	2.217099	0.390819	-0.228734	-0.971339	-0.641583	-0.356157	0.123191	1.14365	1.532017	2.1122	2.496404	2.217099	1.799361	0.223903	-0.444995	-0.950018	-0.429327	-0.263432	0.24511	0.424323	0.725257	1.860406	2.884677	3.605198	2.01199	0.487135	-0.577489	-1.075393	-0.306241	-0.436818	0.309537	1.195862	1.667005	2.1122	2.657205	2.657205	2.01199	-0.087583	-0.736412	-0.931355	-0.513579	-0.249873	0.250698	0.343852	1.092544
YDL227C	1.34023	2.217099	2.496404	1.758552	2.496404	2.496404	2.335384	2.884677	2.657205	2.335384	2.496404	2.496404	2.657205	2.01199	-0.244329	-1.203153	-1.163185	-0.671126	0.182437	0.528259	1.355584	1.799361	1.324023	1.563192	0.944637	2.335384	2.884677	2.335384	2.217099	2.884677	2.657205	2.884677	2.496404	2.496404	2.217099	2.496404	2.657205	1.860406	-0.446456	-1.357251	-1.334105	-0.849945	0.064524	0.378938	0.925492	1.667005	1.799361	1.758552
YER070W	2.884677	2.335384	-0.548552	-1.257555	-1.867705	-1.185302	-0.649765	-0.209645	0.516542	1.00471	1.860406	2.335384	2.335384	1.507983	-0.143309	-1.040627	-1.069046	-0.708921	-0.516872	-0.098742	0.22595	0.790849	0.840407	0.697189	1.474821	2.496404	-0.476767	-1.317083	-1.978077	-1.334105	-0.720796	-0.285898	0.678016	1.14365	1.799361	2.335384	2.217099	1.532017	-0.342275	-1.185302	-1.185302	-0.632918	-0.459218	-0.107925	0.195923	0.944637	0.783869	1.113627
YPL163C	1.799361	1.860406	1.00471	-0.47762	-2.173676	-1.585488	-1.585488	-1.498844	-0.97819	-0.266925	0.129267	0.675348	0.901446	1.306367	-0.114759	-1.218039	-1.867705	-1.978077	-1.773947	-1.689215	-1.185302	0.308385	0.459928	0.441924	1.448563	2.1122	1.563192	-0.504607	-1.867705	-2.534401	-1.537934	-1.317083	-0.715003	-0.316328	0.776856	0.329167	1.010631	1.092544	0.315574	-1.773947	-1.773947	-1.867705	-1.978077	-1.867705	-1.10353	0.387812	0.259242	0.300301
YDR033W	2.657205	1.593395	1.022223	0.936782	1.34023	2.1122	2.496404	2.1122	1.714185	0.727621	-0.514954	-0.802481	-1.412812	-1.462039	-1.462039	-0.741783	-0.121196	0.733441	1.925833	1.448563	1.010631	0.701822	0.641758	-0.234841	1.667005	1.563192	1.355584	1.054135	1.507983	2.217099	2.496404	2.217099	1.925833	0.776856	-0.406052	-1.111863	-1.412812	-2.173676	-1.334105	-1.031279	-0.077153	0.920365	1.860406	1.799361	0.627767	0.788074	0.531924	-0.270275
YDL179W	1.08305	1.667005	1.287663	1.667005	1.474821	1.37943	1.593395	1.667005	1.593395	1.925833	1.355584	1.37943	-0.469975	-1.867705	-1.412812	-2.173676	-0.780045	-0.052032	0.635287	1.160042	1.667005	1.195862	0.296396	-0.270587	1.183097	1.448563	1.714185	1.714185	1.667005	1.400749	1.667005	1.620184	1.593395	1.563192	1.667005	1.324023	-0.2608	-1.773947	-2.173676	-1.277801	-0.70085	-0.052212	0.733441	1.324023	1.074287	1.022223	0.184613	-0.260365
YPL158C	2.01199	1.925833	2.01199	1.799361	2.335384	1.620184	2.01199	1.925833	1.667005	1.563192	1.799361	1.054135	-0.32764	-1.317083	-1.357251	-1.334105	-0.602366	0.060929	1.400749	1.799361	2.335384	0.889622	0.069008	-0.168401	0.920365	1.925833	2.01199	1.860406	1.563192	1.593395	1.507983	1.799361	1.620184	1.925833	1.593395	1.195862	-0.52541	-1.585488	-1.537934	-0.97819	-0.426372	0.418912	1.054135	2.01199	1.287663	1.043569	0.232043	-0.384387
YBR038W	1.101901	1.355584	1.306367	1.474821	1.593395	1.34023	1.101901	1.054135	0.13712	-0.62501	-1.257555	-1.412812	-1.462039	-1.585488	-0.791436	-0.073443	0.57067	1.37943	1.054135	0.675348	0.015689	-1.092723	-0.874193	-1.462039	0.811843	1.134473	1.593395	1.620184	1.758552	1.563192	1.34023	0.920365	0.060069	-0.795125	-1.773947	-1.867705	-1.773947	-1.257555	-0.918208	-0.29782	0.436636	1.022223	1.134473	0.646453	-0.069739	-0.994651	-0.889293	-1.585488
YMR032W	1.14365	1.160042	1.507983	1.195862	1.065574	1.195862	1.758552	1.171638	0.136644	-0.48461	-1.537934	-1.978077	-1.357251	-1.498844	-0.931355	-0.21787	0.468495	0.894186	1.714185	0.840407	0.133181	-0.835699	-0.273126	-0.76317	0.825028	1.195862	1.37943	1.195862	1.306367	1.507983	1.758552	1.324023	-0.027177	-0.822042	-1.585488	-1.978077	-1.689215	-1.385994	-0.787838	-0.255987	0.690777	1.448563	1.714185	1.08305	0.152738	-1.02083	-0.70085	-1.083785
